leaidC	newname	nyt_abbrev	ses	totavg	mnav3poolgcs	mnav8poolgcs	mngrdpoolgcs	stfips	countyid	inc50all	growth_pctile_for_subgroup	lat	lon
3620580	New York City Public Schools	N.Y.	-0.8876	70986	2.993	7.578	0.917	36	36061	41888	35	40.696	-73.866
0622710	Los Angeles Unified	Calif.	-0.595	49398	1.939	6.309	0.874	06	06037	40928	23	34.12	-118.391
1709930	City of Chicago	Ill.	-1.2862	29007	1.664	7.622	1.192	17	17031	38036	97	41.838	-87.689
1200390	Dade	Fla.	-0.5289	26421	3.407	7.608	0.84	12	12086	44846	16	25.613	-80.572
3200060	Clark County School District	Nev.	0.0122	24468	2.52	7.566	1.009	32	32003	58901	64	36.215	-115.014
1200180	Broward	Fla.	-0.0591	19164	3.681	7.96	0.856	12	12011	56779	19	26.152	-80.491
4823640	Houston	Tex.	-0.8436	16229	2.677	7.384	0.941	48	48201	35505	42	29.724	-95.392
1200870	Hillsborough	Fla.	-0.1819	14677	3.477	7.612	0.827	12	12057	53565	14	27.931	-82.306
4218990	Philadelphia City	Pa.	-1.8208	14393	1.853	6.386	0.907	42	42101	33429	32	40.008	-75.134
1500030	Hawaii Department of Education	Hawaii	0.4943	13645	2.757	7.565	0.962	15	15003	71322	49	19.598	-155.506
1201440	Orange	Fla.	-0.2132	13263	3.481	7.714	0.847	12	12095	50719	18	28.514	-81.323
4816230	Dallas	Tex.	-1.0883	13087	2.185	6.844	0.932	48	48113	31634	39	32.736	-96.744
1201500	Palm Beach	Fla.	-0.0597	13055	3.552	8.052	0.9	12	12099	56399	30	26.647	-80.477
1302550	Gwinnett County	Ga.	0.3352	12933	3.644	8.747	1.021	13	13135	63318	68	33.957	-84.024
5101260	Fairfax Co. Public Schools	Va.	1.5955	12637	4.229	9.086	0.971	51	51059	116358	52	38.838	-77.278
3704720	Wake County Schools	N.C.	0.7493	11906	4.171	8.846	0.935	37	37183	77289	40	35.79	-78.65
3702970	Charlotte-Mecklenburg Schools	N.C.	-0.0485	11239	3.548	8.284	0.947	37	37119	57010	44	35.247	-80.833
2400480	Montgomery County Public Schools	Md.	1.2183	10503	4.078	9.03	0.99	24	24031	99755	58	39.136	-77.204
0634320	San Diego Unified	Calif.	0.1474	9627	2.555	7.577	1.004	06	06073	55e3	63	32.813	-117.147
1200480	Duval	Fla.	-0.3895	9108	3.356	7.335	0.796	12	12031	51586	10	30.326	-81.69
2400510	Prince George's County Public Schools	Md.	0.1889	8829	2.439	6.751	0.862	24	24033	71292	21	38.83	-76.847
1301290	Cobb County	Ga.	0.5962	8303	3.463	8.551	1.018	13	13067	75323	67	33.941	-84.577
4816110	Cypress-Fairbanks	Tex.	0.8133	8276	3.465	8.752	1.057	48	48201	73884	78	29.923	-95.644
4702940	Memphis City School District	Tenn.	-2.0633	7977	1.021	6.065	1.009	47	47157	31076	64	35.105	-89.977
2400120	Baltimore County Public Schools	Md.	0.4317	7673	3.807	7.942	0.827	24	24005	68698	14	39.468	-76.646
2612000	Detroit City School District	Mich.	-3.2371	7627	0.852	5.421	0.914	26	26163	26982	34	42.385	-83.104
1201560	Pinellas	Fla.	-0.0888	7522	3.448	7.574	0.825	12	12103	52253	14	27.937	-82.726
4833120	Northside	Tex.	0.3629	7479	3.155	8.316	1.032	48	48029	60874	71	29.558	-98.692
1301740	Dekalb County	Ga.	-0.6892	7390	2.337	6.59	0.85	13	13089	46937	18	33.772	-84.222
3500060	Albuquerque Public Schools	N.M.	-0.1651	7289	2.224	7.153	0.986	35	35001	48886	57	35.058	-106.686
2102990	Jefferson County	Ky.	-0.7313	7197	2.615	7.252	0.927	21	21111	46814	38	38.187	-85.659
1201590	Polk	Fla.	-0.4149	7109	3.135	7.06	0.785	12	12105	47663	8	27.949	-81.698
1302280	Fulton County	Ga.	0.5523	7023	3.679	8.349	0.934	13	13121	78200	40	33.608	-84.612
4808940	Austin	Tex.	-0.3685	6476	2.957	7.969	1.002	48	48453	44325	62	30.261	-97.798
4819700	Fort Worth	Tex.	-1.0328	6292	2.068	6.834	0.953	48	48439	35202	46	32.721	-97.37
0622500	Long Beach Unified	Calif.	-0.4965	6214	2.357	7.103	0.949	06	06037	49042	45	33.382	-118.419
5103130	Prince Wm Co. Public Schools	Va.	1.1002	6181	3.646	8.499	0.971	51	51153	92771	52	38.719	-77.485
0804800	Jefferson County School District No. R-1	Colo.	0.753	6171	4.147	9.102	0.991	08	08059	78941	59	39.588	-105.25
1201080	Lee	Fla.	-0.1532	6121	3.639	7.792	0.831	12	12071	50959	15	26.581	-81.788
0803360	School District No. 1 In The County Of Denver And State Of C	Colo.	-0.4215	6066	2.491	7.423	0.987	08	08031	42291	57	39.761	-104.877
5509600	Milwaukee School District	Wis.	-1.8662	5916	1.3	5.87	0.914	55	55079	32072	34	43.064	-87.967
4703180	Davidson County	Tenn.	-0.839	5823	1.82	6.975	1.031	47	47037	41745	71	36.169	-86.785
2400090	Baltimore City Public Schools	Md.	-1.6172	5719	2.314	5.499	0.637	24	24510	35630	1	39.308	-76.616
3701920	Guilford County Schools	N.C.	-0.3979	5683	3.395	7.862	0.893	37	37081	50777	28	36.079	-79.789
4900030	Alpine District	Utah	1.1315	5679	3.453	9.007	1.111	49	49049	77638	89	40.315	-111.852
2400060	Anne Arundel County Public Schools	Md.	0.958	5642	4.43	8.55	0.824	24	24003	89181	14	39.002	-76.609
0404970	Mesa Unified District	Ariz.	0.1074	5625	2.773	7.967	1.039	04	04013	56160	73	33.453	-111.727
0614550	Fresno Unified	Calif.	-1.7505	5612	1.46	6.11	0.93	06	06019	35052	39	36.774	-119.783
4900210	Davis District	Utah	1.0211	5475	3.425	8.495	1.014	49	49011	76243	66	40.991	-112.111
4502310	Greenville	S.C.	-0.156	5460	3.004	7.937	0.987	45	45045	53734	57	34.884	-82.364
4900360	Granite District	Utah	0.16	5447	2.372	6.917	0.909	49	49035	56059	33	40.743	-111.944
4819650	Fort Bend	Tex.	0.8763	5381	3.427	9.013	1.117	48	48157	76737	90	29.578	-95.579
4832940	North East	Tex.	0.4193	5269	3.103	8.538	1.087	48	48029	63630	84	29.577	-98.452
1200150	Brevard	Fla.	0.1406	5177	4.116	8.433	0.863	12	12009	60072	21	28.206	-80.765
5103840	Va Beach City	Va.	0.7248	5117	3.581	8.32	0.948	51	51810	70279	45	36.757	-76.06
1201530	Pasco	Fla.	-0.077	5044	3.338	7.786	0.89	12	12101	56288	27	28.309	-82.387
5102250	Loudoun Co. Public Schools	Va.	1.8504	4985	4.135	8.823	0.938	51	51107	134058	41	39.091	-77.636
3200480	Washoe County School District	Nev.	0.2228	4947	2.812	8.199	1.077	32	32031	62211	82	40.665	-119.664
4808700	Arlington	Tex.	-0.224	4882	2.447	7.89	1.089	48	48439	49861	84	32.713	-97.111
4825170	Katy	Tex.	1.2127	4871	4.015	9.378	1.073	48	48157	89183	81	29.797	-95.768
4807710	Aldine	Tex.	-1.2855	4841	2.642	7.189	0.909	48	48201	35289	33	29.944	-95.377
0803450	Douglas County School District, No. Re	Colo.	1.6862	4808	4.764	9.685	0.984	08	08035	113895	56	39.336	-104.92
1201710	Seminole	Fla.	0.4761	4767	4.341	8.595	0.851	12	12117	66884	19	28.717	-81.236
0612330	Elk Grove Unified	Calif.	0.2799	4732	2.61	7.526	0.983	06	06067	69564	56	38.44	-121.277
0408800	Tucson Unified District	Ariz.	-0.609	4640	1.842	6.936	1.019	04	04019	43286	67	32.211	-110.962
4900420	Jordan District	Utah	1.1251	4608	3.092	8.447	1.071	49	49035	81343	81	40.537	-112.042
1100030	District of Columbia Public Schools	D.C.	-1.3674	4604	1.455	6.552	1.019	11	11001	38766	67	38.905	-77.016
4818300	El Paso	Tex.	-1.0172	4601	3.055	7.632	0.916	48	48141	35989	35	31.869	-106.41
1201920	Volusia	Fla.	-0.081	4564	3.554	7.425	0.774	12	12127	54124	7	29.059	-81.201
0102370	Mobile County	Ala.	-1.1084	4497	3.025	6.526	0.7	01	01097	39954	3	30.796	-88.207
3904380	Columbus City	Ohio	-1.9036	4413	1.654	5.989	0.867	39	39049	30591	22	39.986	-82.966
4820340	Garland	Tex.	0.0725	4387	3.45	7.823	0.875	48	48113	55842	24	32.912	-96.598
2502790	Boston	Mass.	-1.2203	4327	2.741	7.878	1.027	25	25025	38058	70	42.318	-71.087
4702220	Knox County School District	Tenn.	0.26	4327	2.915	8.092	1.035	47	47093	58453	72	35.993	-83.937
0635310	Santa Ana Unified	Calif.	-0.3185	4299	1.788	6.333	0.909	06	06059	48222	33	33.721	-117.875
5100840	Chesterfield Co. Public Schools	Va.	0.8971	4293	3.907	8.319	0.882	51	51041	79845	26	37.379	-77.587
3701500	Forsyth County Schools	N.C.	-0.187	4230	3.433	7.634	0.84	37	37067	53065	16	36.13	-80.256
4838730	San Antonio	Tex.	-1.7931	4197	1.802	6.576	0.955	48	48029	29304	47	29.42	-98.471
4835100	Plano	Tex.	1.2873000000000001	4182	4.045	9.733	1.138	48	48085	99049	92	33.036	-96.723
0634170	San Bernardino City Unified	Calif.	-1.2268	4139	1.096	6.27	1.035	06	06071	38023	72	34.206	-117.337
0607440	Capistrano Unified	Calif.	1.3987	4055	3.418	8.994	1.115	06	06059	110745	89	33.531	-117.615
0802910	Cherry Creek, School District No. 5, In The County Of Arapah	Colo.	1.0924	4036	4.446	9.15	0.941	08	08005	85875	42	39.615	-104.784
1301230	Clayton County	Ga.	-1.0733	4034	2.113	6.538	0.885	13	13063	42494	26	33.542	-84.358
4827300	Lewisville	Tex.	1.1865	4018	3.724	9.139	1.083	48	48121	92467	83	33.05	-96.991
4834320	Pasadena	Tex.	-0.6487	4018	2.677	7.512	0.967	48	48201	42953	51	29.646	-95.207
1201470	Osceola	Fla.	-0.4048	4016	3.098	7.266	0.834	12	12097	46209	15	28.063	-81.149
0634410	San Francisco Unified	Calif.	0.3832	4013	2.612	7.804	1.038	06	06075	62520	73	37.75	-122.43
0609850	Corona-Norco Unified	Calif.	0.7646	4011	2.923	7.855	0.986	06	06065	87349	57	33.846	-117.538
4815000	Conroe	Tex.	0.844	3961	3.858	9.217	1.072	48	48339	78287	81	30.252	-95.402
3904378	Cleveland Municipal	Ohio	-3.0248	3932	1.296	5.738	0.888	39	39035	24473	27	41.477	-81.679
3700011	Cumberland County Schools	N.C.	-0.6797	3910	3.182	7.439	0.851	37	37051	44294	19	35.038	-78.805
2400420	Howard County Public Schools	Md.	1.5999	3843	4.762	9.648	0.977	24	24027	117852	54	39.251	-76.931
1300120	Atlanta Public Schools	Ga.	-1.8434	3833	2.522	6.528	0.801	13	13121	29662	10	33.763	-84.423
4811680	Brownsville	Tex.	-1.7594	3805	2.738	7.472	0.947	48	48061	28230	44	25.946	-97.494
3174820	Omaha Public Schools	Neb.	-0.5809	3662	2.143	6.504	0.872	31	31055	43559	23	41.29	-96.013
5101890	Henrico Co. Public Schools	Va.	0.4067	3653	4.051	7.967	0.783	51	51087	69072	8	37.538	-77.406
0614880	Garden Grove Unified	Calif.	-0.0087	3641	2.496	8.164	1.134	06	06059	58123	92	33.766	-117.956
0628050	Oakland Unified	Calif.	-0.7897	3633	1.97	6.267	0.859	06	06001	40845	20	37.797	-122.213
4703810	Shelby County School District	Tenn.	0.8846	3629	3.54	8.368	0.966	47	47157	82112	50	35.306	-89.852
0200180	Anchorage School District	Alaska	0.5663	3614	2.779	8.002	1.045	02	02020	80728	74	61.152	-149.107
0633840	Sacramento City Unified	Calif.	-0.965	3612	1.964	6.97	1.001	06	06067	41294	62	38.526	-121.453
4807830	Alief	Tex.	-0.9977	3570	2.467	7.617	1.03	48	48201	35391	70	29.704	-95.608
3411340	Newark	N.J.	-1.9198	3547	2.171	6.864	0.939	34	34013	34047	41	40.725	-74.174
4838080	Round Rock	Tex.	0.9242	3494	4.013	9.484	1.094	48	48491	85677	86	30.497	-97.709
4825740	Klein	Tex.	0.8817	3490	3.484	8.76	1.055	48	48201	79430	77	30.043	-95.524
2012990	Wichita	Kan.	-0.7376	3460	2.52	6.629	0.822	20	20173	42027	13	37.699	-97.31
2200540	East Baton Rouge Parish	La.	-1.1696	3415	1.616	6.633	1.003	22	22033	36456	63	30.441	-91.107
2200840	Jefferson Parish	La.	-0.7894	3412	2.003	7.081	1.016	22	22051	43226	66	29.79	-90.129
2733840	St. Paul Public School District	Minn.	-0.8625	3412	2.316	7.003	0.937	27	27123	42500	41	44.948	-93.104
5307710	Seattle Public Schools	Wash.	0.6729	3411	3.625	9.344	1.144	53	53033	73336	93	47.624	-122.324
0403400	Gilbert Unified District	Ariz.	0.9556	3384	3.646	8.967	1.064	04	04013	84586	79	33.348	-111.728
0634620	San Juan Unified	Calif.	0.0408	3374	2.52	7.224	0.941	06	06067	64280	42	38.648	-121.305
0401870	Chandler Unified District	Ariz.	0.9354	3359	3.499	9.345	1.169	04	04013	83199	95	33.258	-111.809
1201230	Manatee	Fla.	-0.095	3324	3.098	7.507	0.882	12	12081	54257	25	27.47	-82.294
0608610	Chula Vista Elementary	Calif.	0.2851	3309	2.896	8.38	1.097	06	06073	65833	86	32.626	-116.964
4110040	Portland 1J	Ore.	0.0662	3299	3.414	8.813	1.08	41	41051	59953	83	45.559	-122.722
3704620	Union County Public Schools	N.C.	0.6173	3265	4.208	9.403	1.039	37	37179	73232	73	34.988	-80.531
4820010	Frisco	Tex.	1.5295	3251	4.683	10.327	1.129	48	48085	105733	91	33.151	-96.811
1200330	Collier	Fla.	0.0274	3250	3.203	8.058	0.971	12	12021	52350	52	26.123	-81.332
4501440	Charleston 01	S.C.	-0.3932	3234	2.888	7.931	1.009	45	45019	47534	64	32.733	-80.167
4701590	Hamilton County School Distrct	Tenn.	-0.5334	3228	2.531	7.593	1.012	47	47065	48822	65	35.181	-85.165
0407750	Deer Valley Unified District	Ariz.	0.9567	3227	3.466	8.881	1.083	04	04013	85003	83	33.841	-112.127
2200300	Caddo Parish	La.	-1.2406	3225	2.016	6.464	0.89	22	22017	37433	27	32.58	-93.882
4846680	Ysleta	Tex.	-1.4753	3220	2.927	7.663	0.947	48	48141	31424	44	31.732	-106.334
4840710	Socorro	Tex.	-0.428	3179	2.89	8	1.022	48	48141	43908	68	31.79	-106.245
1302820	Henry County	Ga.	0.32	3178	3.008	7.68	0.934	13	13151	70878	40	33.453	-84.154
0806900	Adams 12 Five Star Schools	Colo.	0.5486	3170	3.503	8.2	0.94	08	08001	72906	42	39.928	-104.99
4843650	United	Tex.	-0.5493	3152	2.218	7.296	1.016	48	48479	42525	66	27.85	-99.439
0633150	Riverside Unified	Calif.	0.1042	3136	2.266	7.597	1.066	06	06065	60958	80	33.926	-117.376
4022770	Oklahoma City	Okla.	-1.3332	3128	1.785	6.175	0.878	40	40109	30773	25	35.496	-97.526
1301110	Cherokee County	Ga.	0.8102	3102	3.83	8.769	0.988	13	13057	76803	58	34.244	-84.476
0638010	Stockton Unified	Calif.	-1.4691	3098	0.703	5.96	1.051	06	06077	37500	76	37.956	-121.269
1201680	Sarasota	Fla.	-0.0316	3095	4.166	8.817	0.93	12	12115	56269	39	27.18	-82.318
2721240	Minneapolis Public School Dist.	Minn.	-1.0214	3089	2.049	7.234	1.037	27	27053	38362	72	44.964	-93.268
1201260	Marion	Fla.	-0.6498	3081	3.518	7.19	0.734	12	12083	44399	4	29.21	-82.057
1201050	Lake	Fla.	-0.0123	3062	3.559	7.465	0.781	12	12069	53399	8	28.761	-81.711
0603630	Bakersfield City	Calif.	-1.7596	3059	1.135	6.056	0.984	06	06029	32964	56	35.415	-118.878
1302220	Forsyth County	Ga.	1.2536	3047	4.774	10.172	1.08	13	13117	98468	83	34.226	-84.125
0406250	Peoria Unified School District	Ariz.	0.5006	3027	2.909	8.547	1.127	04	04013	70220	91	33.723	-112.289
2201170	Orleans Parish	La.	-1.9255	3018	1.331	7.015	1.137	22	22071	29662	92	30.034	-89.922
0613920	Fontana Unified	Calif.	-0.3608	3014	1.734	6.376	0.928	06	06071	51030	38	34.108	-117.459
1713710	SD U-46	Ill.	0.4864	3005	2.71	8.158	1.089	17	17089	64791	85	42.006	-88.244
4815270	Corpus Christi	Tex.	-0.7482	3005	2.72	7.106	0.877	48	48355	45331	24	27.733	-97.403
1804770	Indianapolis Public Schools	Ind.	-2.4981	2982	2.193	6.605	0.882	18	18097	26252	26	39.793	-86.136
4030240	Tulsa	Okla.	-1.3035	2964	2.094	5.921	0.765	40	40143	34443	7	36.163	-95.945
2400330	Frederick County Public Schools	Md.	1.1857	2961	3.91	8.947	1.007	24	24021	98415	64	39.472	-77.398
4110820	Salem-Keizer 24J	Ore.	-0.5715	2961	2.328	8.03	1.14	41	41047	50064	93	44.945	-123.027
4502490	Horry	S.C.	-0.5806	2955	3.325	7.952	0.925	45	45051	44374	37	33.921	-78.997
4830390	Mesquite	Tex.	-0.0681	2954	2.856	7.792	0.987	48	48113	49735	57	32.758	-96.594
0609030	Clovis Unified	Calif.	0.7428	2952	3.997	8.526	0.906	06	06019	83847	32	36.875	-119.632
4703690	Rutherford County School Dist.	Tenn.	0.2689	2951	3.395	8.544	1.03	47	47149	61497	70	35.843	-86.417
1200510	Escambia	Fla.	-0.6986	2949	3.381	7.027	0.729	12	12033	42897	4	30.716	-87.38
4825660	Killeen	Tex.	-0.3713	2942	2.667	7.82	1.031	48	48027	44826	71	31.129	-97.759
4814280	Clear Creek	Tex.	1.0753	2938	3.873	9.247	1.075	48	48167	88357	81	29.545	-95.106
2703180	Anoka-Hennepin Public School Dist.	Minn.	0.8391	2927	4.054	9.006	0.99	27	27003	80402	58	45.219	-93.335
1201770	St. Lucie	Fla.	-0.5501	2917	3.056	7.224	0.834	12	12111	45735	15	27.376	-80.487
4101920	Beaverton 48J	Ore.	0.6304	2906	4.008	9.025	1.003	41	41067	76994	63	45.496	-122.826
1602100	Meridian Joint District	Idaho	0.9358	2890	3.311	8.621	1.062	16	16001	74523	79	43.55	-116.311
0802340	Aurora, Joint District No. 28 Of The Counties Of Adams And A	Colo.	-0.6907	2876	2.215	6.684	0.894	08	08005	41088	28	39.719	-104.733
5100810	Chesapeake City	Va.	0.7432	2874	3.726	8.232	0.901	51	51550	78518	30	36.678	-76.302
2400390	Harford County Public Schools	Md.	0.936	2854	3.668	9.096	1.086	24	24025	89795	84	39.568	-76.321
2101860	Fayette County	Ky.	0.0323	2850	4.095	8.393	0.86	21	21067	56700	20	38.042	-84.459
3605850	Buffalo City School District	N.Y.	-2.4637	2834	1.525	5.559	0.807	36	36029	25382	11	42.9	-78.851
2201650	St. Tammany Parish	La.	0.3195	2799	3.347	8.14	0.958	22	22103	67691	48	30.459	-89.948
4837020	Richardson	Tex.	-0.0942	2789	3.632	8.605	0.995	48	48113	49269	60	32.936	-96.735
0101920	Jefferson County	Ala.	0.1545	2773	2.603	6.583	0.796	01	01073	59257	10	33.687	-86.851
4823910	Humble	Tex.	1.1021	2763	3.276	8.687	1.082	48	48201	91359	83	30.002	-95.202
3701260	Durham Public Schools	N.C.	-0.1944	2750	2.513	6.949	0.887	37	37063	48420	27	36.036	-78.876
4841220	Spring	Tex.	-0.419	2741	2.456	6.836	0.876	48	48201	49457	24	30.065	-95.394
0625800	Moreno Valley Unified	Calif.	-0.3381	2728	1.515	6.189	0.935	06	06065	51373	40	33.933	-117.216
0602610	Anaheim City	Calif.	-0.6114	2721	1.507	6.682	1.035	06	06059	44816	72	33.827	-117.917
3172840	Lincoln Public Schools	Neb.	0.3353	2719	4.104	8.727	0.925	31	31109	63010	37	40.796	-96.709
0405930	Paradise Valley Unified District	Ariz.	0.74	2703	3.361	8.625	1.053	04	04013	77775	76	33.652	-111.982
1301020	Chatham County	Ga.	-0.5699	2676	2.368	6.711	0.869	13	13051	39596	22	32.035	-81.158
0409060	Washington Elementary School District	Ariz.	-0.6934	2668	1.762	7.237	1.095	04	04013	43072	86	33.587	-112.113
3904375	Cincinnati City	Ohio	-1.9573	2668	1.957	7.134	1.035	39	39061	28375	72	39.146	-84.502
3702370	Johnston County Schools	N.C.	-0.076	2664	3.713	8.218	0.901	37	37101	55703	30	35.518	-78.366
1200300	Clay	Fla.	0.3671	2639	4.113	8.203	0.818	12	12019	65071	13	29.983	-81.858
4824420	Irving	Tex.	-0.839	2636	2.119	7.263	1.029	48	48113	36849	70	32.832	-96.963
0600028	Temecula Valley Unified	Calif.	0.8225	2607	3.492	8.271	0.956	06	06065	85631	47	33.521	-117.05
4825260	Keller	Tex.	1.2886	2583	3.9	9.349	1.09	48	48439	94889	85	32.92	-97.252
0631530	Poway Unified	Calif.	1.5	2576	4.47	9.279	0.962	06	06073	112023	49	32.982	-117.06
3701620	Gaston County Schools	N.C.	-0.7007	2574	3.256	7.562	0.861	37	37071	46103	21	35.294	-81.18
4818180	Edinburg CISD	Tex.	-1.4465	2571	3.02	7.453	0.887	48	48215	34547	26	26.537	-98.188
4827030	Leander	Tex.	1.0956	2553	3.758	9.472	1.143	48	48491	88249	93	30.518	-97.886
0626370	Mt. Diablo Unified	Calif.	0.7084	2547	2.829	7.367	0.908	06	06013	83433	32	37.953	-121.977
4900630	Nebo District	Utah	0.9886	2540	3.371	8.163	0.958	49	49049	66352	48	39.998	-111.562
2929280	St. Louis City	Mo.	-2.5325	2523	1.089	5.953	0.973	29	29510	26818	53	38.636	-90.245
0634590	San Jose Unified	Calif.	0.4299	2504	2.788	7.432	0.929	06	06085	75276	38	37.263	-121.868
2801320	Desoto Co. School District	Miss.	0.1437	2502	3.236	7.729	0.899	28	28033	62278	29	34.875	-89.992
4901200	Weber District	Utah	0.8436	2492	2.709	7.744	1.007	49	49057	71213	64	41.27	-111.913
4834860	Pharr-San Juan-Alamo	Tex.	-1.8006	2482	2.666	6.685	0.804	48	48215	30921	11	26.181	-98.163
0102430	Montgomery County	Ala.	-0.9939	2479	2.361	5.384	0.605	01	01101	41262	1	32.22	-86.208
0628470	Ontario-Montclair Elementary	Calif.	-0.5573	2477	1.62	6.592	0.994	06	06071	50126	60	34.062	-117.658
0614400	Fremont Unified	Calif.	1.3731	2476	4.543	10.144	1.12	06	06001	104869	90	37.527	-121.989
4900142	Canyons District	Utah	1.0076	2471	3.557	8.803	1.049	49	49035	81371	76	40.585	-111.756
4828920	Mansfield	Tex.	0.6937	2466	3.503	8.503	1	48	48439	78958	61	32.582	-97.143
2200330	Calcasieu Parish	La.	-0.5774	2454	2.762	7.295	0.907	22	22019	53166	32	30.229	-93.358
4841100	Spring Branch	Tex.	0.208	2447	2.792	7.818	1.005	48	48201	53196	63	29.792	-95.536
3624750	Rochester City School District	N.Y.	-2.3459	2436	1.592	4.499	0.581	36	36055	25759	1	43.17	-77.614
1201110	Leon	Fla.	0.06	2422	3.842	8.177	0.867	12	12073	59013	22	30.458	-84.278
4704530	Williamson County School Dist.	Tenn.	1.6511	2414	4.555	10.157	1.12	47	47187	109494	90	35.894	-86.899
1301500	Coweta County	Ga.	0.4291	2397	2.984	7.813	0.966	13	13077	66917	51	33.353	-84.763
1304380	Richmond County	Ga.	-1.479	2377	1.794	6.025	0.846	13	13245	36008	18	33.36	-82.074
1201740	St. Johns	Fla.	0.7708	2373	4.553	9.312	0.952	12	12109	82029	46	29.889	-81.454
1303870	Muscogee County	Ga.	-1.0035	2362	2.176	6.878	0.94	13	13215	42841	42	32.528	-84.911
4808130	Amarillo	Tex.	-0.4017	2361	3.019	7.998	0.996	48	48375	44648	60	35.206	-101.848
3700530	Cabarrus County Schools	N.C.	0.2663	2358	3.563	8.401	0.968	37	37025	68910	51	35.383	-80.55
0608460	Chino Valley Unified	Calif.	0.9479	2344	3.26	8.114	0.971	06	06071	88674	52	33.97	-117.695
0601332	Twin Rivers Unified	Calif.	-1.2648	2341	1.682	6.31	0.926	06	06067	40433	37	38.684	-121.429
1803630	Fort Wayne Community Schools	Ind.	-0.879	2333	2.923	7.777	0.971	18	18003	41428	52	41.068	-85.142
0632550	West Contra Costa Unified	Calif.	-0.0441	2331	1.576	6.136	0.912	06	06013	58825	33	37.954	-122.3
0622230	Lodi Unified	Calif.	-0.151	2325	1.641	7.074	1.087	06	06077	57560	84	38.122	-121.296
5102670	Norfolk City	Va.	-1.0621	2323	2.777	6.866	0.818	51	51710	39447	13	36.89	-76.249
0402690	Dysart Unified District	Ariz.	0.3786	2320	2.832	7.96	1.026	04	04013	63009	69	33.628	-112.417
0625470	Montebello Unified	Calif.	-0.5385	2316	1.341	6.112	0.954	06	06037	43669	47	34.007	-118.129
0635130	San Ramon Valley Unified	Calif.	1.9453	2299	4.903	10.009	1.021	06	06013	154132	68	37.805	-121.94
2200870	Lafayette Parish	La.	-0.2896	2297	2.571	7.509	0.988	22	22055	50192	58	30.207	-92.064
0633860	Saddleback Valley Unified	Calif.	1.2685	2291	3.526	8.604	1.016	06	06059	100764	66	33.646	-117.584
0629580	Palmdale Elementary	Calif.	-0.817	2290	1.229	6.363	1.027	06	06037	45040	69	34.579	-118.084
4703030	Montgomery County Schools	Tenn.	-0.1943	2285	3.059	7.871	0.963	47	47125	53753	50	36.483	-87.36
0404230	Kyrene Elementary District	Ariz.	0.932	2276	3.971	9.235	1.053	04	04013	82954	76	33.284	-111.997
1908970	Des Moines Independent Comm School District	Iowa	-0.5306	2268	2.192	6.812	0.924	19	19153	46456	37	41.573	-93.618
4501170	Berkeley 01	S.C.	-0.3517	2268	2.976	7.519	0.909	45	45015	50925	33	33.202	-79.951
3407830	Jersey City	N.J.	-0.885	2265	2.387	7.468	1.016	34	34017	41773	66	40.715	-74.066
1304020	Paulding County	Ga.	0.3115	2253	3.171	7.692	0.904	13	13223	65792	31	33.921	-84.867
0401680	Cartwright Elementary District	Ariz.	-1.2485	2245	1.533	6.732	1.04	04	04013	35842	73	33.485	-112.198
1741690	Indian Prairie	Ill.	1.7017	2241	4.783	9.922	1.028	17	17043	118171	70	41.75	-88.21
4818000	Ector County	Tex.	-0.4509	2238	2.289	6.633	0.869	48	48135	49634	22	31.869	-102.543
2634470	Utica Community Schools	Mich.	0.6565	2234	3.294	8.549	1.051	26	26099	84645	76	42.646	-83.024
2802190	Jackson Public School Dist.	Miss.	-1.8476	2232	2.052	5.796	0.749	28	28049	31427	5	32.318	-90.215
1731740	Plainfield	Ill.	1.1388	2229	3.364	8.947	1.117	17	17197	88818	89	41.611	-88.202
0628650	Orange Unified	Calif.	0.6665	2227	2.666	8.076	1.082	06	06059	80397	83	33.783	-117.695
4826130	La Joya	Tex.	-2.0008	2211	2.269	6.821	0.91	48	48215	26020	33	26.313	-98.438
0100270	Baldwin County	Ala.	0.1515	2207	3.523	7.435	0.782	01	01003	54735	8	30.739	-87.726
0611110	Desert Sands Unified	Calif.	-0.056	2206	2.523	7.268	0.949	06	06065	53161	45	33.83	-116.111
0802490	Boulder Valley School District No. Re2	Colo.	1.3738	2205	4.77	9.789	1.004	08	08013	100416	63	39.998	-105.395
3904490	Toledo City	Ohio	-2.1586	2195	2.044	6.042	0.8	39	39095	31041	10	41.651	-83.582
0803060	Colorado Springs, School District No. 11, In The County Of E	Colo.	-0.1867	2194	3.738	8.1	0.872	08	08041	51975	23	38.871	-104.796
0684500	Irvine Unified	Calif.	1.5764	2180	4.865	10.467	1.12	06	06059	109596	90	33.675	-117.767
4828500	Lubbock	Tex.	-0.4798	2175	2.499	7.389	0.978	48	48303	43948	54	33.58	-101.863
0631320	Pomona Unified	Calif.	-0.265	2170	1.476	6.283	0.961	06	06037	50825	49	34.048	-117.776
0805370	St. Vrain Valley School District No. Re1J	Colo.	0.8617	2168	3.913	8.817	0.981	08	08013	77525	55	40.171	-105.176
4821420	Grand Prairie	Tex.	-0.4292	2166	2.651	7.4	0.95	48	48113	47329	45	32.725	-96.996
0612880	Escondido Union	Calif.	0.1592	2161	1.524	6.675	1.03	06	06073	48714	70	33.134	-117.087
