"Tweet id","Tweet permalink","Tweet text","time","impressions","engagements","engagement rate","retweets","replies","favorites","user profile clicks","url clicks","hashtag clicks","detail expands","permalink clicks","embedded media clicks","app opens","app install attempts","follows","email tweet","dial phone","promoted impressions","promoted engagements","promoted engagement rate","promoted retweets","promoted replies","promoted favorites","promoted user profile clicks","promoted url clicks","promoted hashtag clicks","promoted detail expands","promoted permalink clicks","promoted embedded media clicks","promoted app opens","promoted app install attempts","promoted follows","promoted email tweet","promoted dial phone"
"508392387518136320","https://twitter.com/DoPhuoc/status/508392387518136320","After smart watches, smart glasses. We will have smart shirt, smart pant, and smart underwear.","2014-09-06 23:12","22","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"508389486297100289","https://twitter.com/DoPhuoc/status/508389486297100289","Important education subject, history ed needs innovative teaching approach. http://t.co/MBfeeVtinm","2014-09-06 23:01","27","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"507958345521569792","https://twitter.com/DoPhuoc/status/507958345521569792","@scottbelsky @vidatalk I mean, can we connect?","2014-09-05 18:28","16","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"507957802338242560","https://twitter.com/DoPhuoc/status/507957802338242560","@scottbelsky I build data visualization community at @vidatalk vida.io. Can you connect?","2014-09-05 18:25","18","1","0.05555555555555555","0","1","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"507640294024544256","https://twitter.com/DoPhuoc/status/507640294024544256","Equity back guarantee from @techstars. It's great for entrepreneur. http://t.co/kq5CwIaJ80 #startup","2014-09-04 21:24","56","2","0.03571428571428571","0","0","1","0","0","0","1","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"507259044453548032","https://twitter.com/DoPhuoc/status/507259044453548032","@jackottaviani We would be interested in your feedback with vida.io template tool. Can we connect?","2014-09-03 20:09","32","2","0.0625","0","0","0","1","0","0","1","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"490722047979696128","https://twitter.com/DoPhuoc/status/490722047979696128","Why not call income gap problem? Income inequality is politically charged.","2014-07-20 04:57","85","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"489130993211961345","https://twitter.com/DoPhuoc/status/489130993211961345","Lunch startup craze reminds me of daily deal. Something we do everyday is highly competitive. #startup","2014-07-15 19:34","127","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"486227711266799616","https://twitter.com/DoPhuoc/status/486227711266799616","In asset bubble build up, startup is the place to put your resources. http://t.co/Drcuoc0emx","2014-07-07 19:18","131","1","0.007633587786259542","0","0","0","0","1","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"486212415135449088","https://twitter.com/DoPhuoc/status/486212415135449088","My latest article on BigQuery on D3.js visualization: http://t.co/Itu54qUR9q cc @felipehoffa","2014-07-07 18:17","148","3","0.02027027027027027","0","0","0","0","2","0","1","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
