Operator,In Out Travelling,Network Type,Rating,Call Drop Category,Latitude,Longitude,State Name
Airtel,Travelling,Unknown,4,Satisfactory,12.8648485,74.8655158,Karnataka
Airtel,Travelling,Unknown,4,Satisfactory,12.8648485,74.8655158,Karnataka
RJio,Indoor,4G,5,Satisfactory,21.347701,83.6014052,Odisha
Vodafone,Outdoor,3G,3,Poor Voice Quality,-1,-1,
Vodafone,Outdoor,3G,4,Satisfactory,-1,-1,
Vodafone,Indoor,Unknown,3,Poor Voice Quality,-1,-1,
Vodafone,Indoor,3G,3,Poor Voice Quality,-1,-1,
BSNL,Travelling,Unknown,5,Satisfactory,23.92824163,91.33555686,Tripura
Idea,Travelling,Unknown,1,Poor Voice Quality,18.5171138,73.84804,Maharashtra
Airtel,Indoor,3G,1,Poor Voice Quality,19.69636,72.769815,Maharashtra
Airtel,Indoor,3G,1,Poor Voice Quality,19.69636,72.769815,Maharashtra
Airtel,Indoor,4G,4,Satisfactory,26.911457717,75.812553000,Rajasthan
Idea,Indoor,2G,1,Poor Voice Quality,18.5171138,73.84804,Maharashtra
RJio,Outdoor,4G,4,Satisfactory,19.1184871,72.8464878,Maharashtra
RJio,Indoor,4G,4,Satisfactory,-1,-1,
BSNL,Indoor,Unknown,2,Poor Voice Quality,26.8489941,80.9576505,Uttar Pradesh
Vodafone,Travelling,3G,5,Satisfactory,28.6096251,77.333503,Uttar Pradesh
Airtel,Indoor,Unknown,5,Satisfactory,22.51763182,88.32180935,West Bengal
RJio,Travelling,Unknown,5,Satisfactory,25.600048,85.1961435,Bihar
Airtel,Outdoor,3G,4,Satisfactory,-1,-1,
RJio,Indoor,4G,5,Satisfactory,-1,-1,
Airtel,Outdoor,3G,4,Satisfactory,12.3030337,76.6309141,Karnataka
RJio,Indoor,4G,5,Satisfactory,11.94563824,79.49072507,Tamil Nadu
Vodafone,Travelling,3G,3,Satisfactory,19.0176788,72.84305143,Maharashtra
Vodafone,Outdoor,Unknown,4,Satisfactory,-1,-1,
BSNL,Indoor,2G,5,Satisfactory,-1,-1,
BSNL,Indoor,2G,5,Satisfactory,-1,-1,
Airtel,Outdoor,3G,4,Satisfactory,-1,-1,
Idea,Indoor,3G,5,Satisfactory,-1,-1,
Airtel,Indoor,4G,4,Satisfactory,13.06325523,80.22076421,Tamil Nadu
RJio,Indoor,4G,2,Call Dropped,17.3327654,78.5273564,Telangana
Vodafone,Indoor,4G,4,Satisfactory,21.19037363,72.78700363,Gujarat
BSNL,Indoor,Unknown,5,Satisfactory,-1,-1,
RJio,Outdoor,4G,4,Satisfactory,19.056842,72.839547,Maharashtra
RJio,Travelling,4G,4,Satisfactory,19.246988333,73.148325,Maharashtra
BSNL,Indoor,3G,1,Call Dropped,-1,-1,
RJio,Indoor,4G,5,Satisfactory,28.6431843,77.4489428,Uttar Pradesh
RJio,Outdoor,4G,5,Satisfactory,28.6431843,77.4489428,Uttar Pradesh
RJio,Travelling,4G,5,Satisfactory,28.4995672,77.6271365,Uttar Pradesh
RJio,Travelling,4G,5,Satisfactory,28.552279081,77.555211252,Uttar Pradesh
RJio,Travelling,4G,5,Satisfactory,28.4929843,77.6361763,Uttar Pradesh
RJio,Outdoor,4G,5,Satisfactory,28.486992,77.6570967,Uttar Pradesh
RJio,Outdoor,4G,5,Satisfactory,28.484760462,77.647694070,Uttar Pradesh
RJio,Outdoor,4G,5,Satisfactory,28.484760462,77.647694070,Uttar Pradesh
RJio,Outdoor,4G,5,Satisfactory,28.4847891,77.6478665,Uttar Pradesh
RJio,Outdoor,4G,5,Satisfactory,28.4869009,77.6570193,Uttar Pradesh
RJio,Outdoor,4G,5,Satisfactory,28.4869009,77.6570193,Uttar Pradesh
RJio,Outdoor,4G,5,Satisfactory,28.4869009,77.6570193,Uttar Pradesh
RJio,Outdoor,4G,5,Satisfactory,28.486992,77.6570967,Uttar Pradesh
RJio,Outdoor,4G,5,Satisfactory,28.486992,77.6570967,Uttar Pradesh
RJio,Outdoor,4G,5,Satisfactory,28.486992,77.6570967,Uttar Pradesh
RJio,Outdoor,4G,5,Satisfactory,28.486992,77.6570967,Uttar Pradesh
RJio,Outdoor,4G,5,Satisfactory,28.4871706,77.6568752,Uttar Pradesh
RJio,Outdoor,4G,5,Satisfactory,28.486992,77.6570967,Uttar Pradesh
RJio,Outdoor,4G,5,Satisfactory,28.4872244,77.6570914,Uttar Pradesh
RJio,Outdoor,4G,5,Satisfactory,28.486992,77.6570967,Uttar Pradesh
RJio,Outdoor,4G,5,Satisfactory,28.6431124,77.4492727,Uttar Pradesh
RJio,Indoor,4G,5,Satisfactory,28.6433047,77.4488474,Uttar Pradesh
RJio,Indoor,4G,5,Satisfactory,28.6433994,77.4488611,Uttar Pradesh
RJio,Indoor,4G,5,Satisfactory,28.6433994,77.4488611,Uttar Pradesh
RJio,Indoor,4G,5,Satisfactory,28.6433994,77.4488611,Uttar Pradesh
RJio,Indoor,4G,5,Satisfactory,28.6433994,77.4488611,Uttar Pradesh
RJio,Indoor,4G,5,Satisfactory,28.6432634,77.448886,Uttar Pradesh
RJio,Outdoor,4G,5,Satisfactory,28.6430246,77.4484303,Uttar Pradesh
RJio,Outdoor,4G,5,Satisfactory,28.6463462,77.4476954,Uttar Pradesh
RJio,Outdoor,4G,5,Satisfactory,28.6458502,77.4476146,Uttar Pradesh
Airtel,Indoor,Unknown,5,Satisfactory,28.6433865,77.4488851,Uttar Pradesh
RJio,Indoor,4G,5,Satisfactory,28.6435228,77.4487427,Uttar Pradesh
RJio,Indoor,4G,5,Satisfactory,28.6427509,77.448452,Uttar Pradesh
RJio,Indoor,4G,5,Satisfactory,28.6427509,77.448452,Uttar Pradesh
RJio,Indoor,4G,5,Satisfactory,28.6433233,77.4488664,Uttar Pradesh
RJio,Indoor,4G,5,Satisfactory,28.6433523,77.448864,Uttar Pradesh
RJio,Indoor,4G,5,Satisfactory,28.6436419,77.4487184,Uttar Pradesh
RJio,Indoor,4G,5,Satisfactory,28.6436419,77.4487184,Uttar Pradesh
RJio,Indoor,4G,5,Satisfactory,28.6437059,77.4595151,Uttar Pradesh
RJio,Outdoor,4G,5,Satisfactory,28.6431115,77.4515932,Uttar Pradesh
RJio,Indoor,4G,5,Satisfactory,28.6437059,77.4595151,Uttar Pradesh
RJio,Indoor,4G,5,Satisfactory,28.6437059,77.4595151,Uttar Pradesh
RJio,Indoor,4G,5,Satisfactory,28.643585499,77.459270312,Uttar Pradesh
RJio,Indoor,4G,5,Satisfactory,28.643598240,77.459344659,Uttar Pradesh
RJio,Outdoor,4G,5,Satisfactory,28.643683651,77.459427807,Uttar Pradesh
RJio,Outdoor,4G,5,Satisfactory,28.643749952,77.459307276,Uttar Pradesh
RJio,Outdoor,4G,5,Satisfactory,28.643879620,77.459359663,Uttar Pradesh
Airtel,Outdoor,Unknown,5,Satisfactory,28.643694799,77.459367206,Uttar Pradesh
Airtel,Outdoor,Unknown,5,Satisfactory,28.643740942,77.459343150,Uttar Pradesh
RJio,Outdoor,4G,5,Satisfactory,28.643653770,77.459326889,Uttar Pradesh
RJio,Outdoor,4G,5,Satisfactory,28.643690776,77.459222199,Uttar Pradesh
RJio,Outdoor,4G,5,Satisfactory,28.643619823,77.459232258,Uttar Pradesh
RJio,Outdoor,4G,5,Satisfactory,28.643896258,77.459621513,Uttar Pradesh
RJio,Travelling,4G,5,Satisfactory,28.641589475,77.459924435,Uttar Pradesh
RJio,Outdoor,4G,5,Satisfactory,28.643609220,77.460254598,Uttar Pradesh
RJio,Outdoor,4G,5,Satisfactory,28.6437731,77.4486223,Uttar Pradesh
RJio,Outdoor,4G,5,Satisfactory,28.643214,77.4317995,Uttar Pradesh
RJio,Outdoor,4G,5,Satisfactory,28.6434758,77.4318751,Uttar Pradesh
RJio,Indoor,4G,5,Satisfactory,28.643890349,77.450234285,Uttar Pradesh
RJio,Outdoor,4G,5,Satisfactory,28.6434616,77.4318744,Uttar Pradesh
RJio,Outdoor,4G,5,Satisfactory,28.643446,77.4318721,Uttar Pradesh
RJio,Outdoor,4G,5,Satisfactory,28.6434458,77.4318743,Uttar Pradesh
RJio,Outdoor,4G,5,Satisfactory,28.643617057,77.431804659,Uttar Pradesh
RJio,Travelling,4G,5,Satisfactory,28.633852098,77.454492291,Uttar Pradesh
RJio,Travelling,4G,5,Satisfactory,28.634316497,77.457120940,Uttar Pradesh
RJio,Outdoor,4G,5,Satisfactory,28.6380536,77.4578674,Uttar Pradesh
RJio,Outdoor,4G,5,Satisfactory,28.6380536,77.4578674,Uttar Pradesh
RJio,Outdoor,4G,5,Satisfactory,28.638045103,77.457978074,Uttar Pradesh
RJio,Outdoor,4G,5,Satisfactory,28.638064465,77.457983270,Uttar Pradesh
RJio,Outdoor,4G,5,Satisfactory,28.6380536,77.4578674,Uttar Pradesh
RJio,Outdoor,4G,5,Satisfactory,28.6380389,77.458188,Uttar Pradesh
RJio,Outdoor,4G,5,Satisfactory,28.6382971,77.4580454,Uttar Pradesh
RJio,Outdoor,4G,5,Satisfactory,28.6380584,77.4580478,Uttar Pradesh
RJio,Outdoor,4G,5,Satisfactory,28.6380584,77.4580478,Uttar Pradesh
RJio,Outdoor,4G,5,Satisfactory,28.6382239,77.4581139,Uttar Pradesh
Airtel,Outdoor,Unknown,5,Satisfactory,28.6383676,77.4579308,Uttar Pradesh
Airtel,Outdoor,Unknown,5,Satisfactory,28.6381115,77.4578747,Uttar Pradesh
RJio,Outdoor,4G,5,Satisfactory,28.6379885,77.4580018,Uttar Pradesh
Airtel,Outdoor,Unknown,5,Satisfactory,28.6379824,77.4581054,Uttar Pradesh
RJio,Indoor,4G,5,Satisfactory,28.6379824,77.4581054,Uttar Pradesh
RJio,Indoor,4G,5,Satisfactory,28.6434649,77.4487682,Uttar Pradesh
RJio,Indoor,4G,5,Satisfactory,28.6434649,77.4487682,Uttar Pradesh
RJio,Outdoor,4G,5,Satisfactory,28.6381841,77.4579789,Uttar Pradesh
RJio,Indoor,4G,5,Satisfactory,28.6379824,77.4581054,Uttar Pradesh
RJio,Indoor,4G,5,Satisfactory,28.6379824,77.4581054,Uttar Pradesh
RJio,Indoor,4G,5,Satisfactory,28.6434649,77.4487682,Uttar Pradesh
RJio,Indoor,4G,5,Satisfactory,28.6434649,77.4487682,Uttar Pradesh
RJio,Indoor,4G,5,Satisfactory,28.6434649,77.4487682,Uttar Pradesh
RJio,Indoor,4G,5,Satisfactory,28.6434649,77.4487682,Uttar Pradesh
RJio,Indoor,4G,5,Satisfactory,28.6432972,77.448631,Uttar Pradesh
RJio,Indoor,4G,5,Satisfactory,28.6432972,77.448631,Uttar Pradesh
RJio,Indoor,4G,5,Satisfactory,28.6432972,77.448631,Uttar Pradesh
RJio,Indoor,4G,5,Satisfactory,28.6432972,77.448631,Uttar Pradesh
RJio,Indoor,4G,5,Satisfactory,28.6432972,77.448631,Uttar Pradesh
RJio,Indoor,4G,5,Satisfactory,28.6432972,77.448631,Uttar Pradesh
RJio,Indoor,4G,5,Satisfactory,28.6432972,77.448631,Uttar Pradesh
RJio,Indoor,4G,5,Satisfactory,28.6432972,77.448631,Uttar Pradesh
RJio,Indoor,4G,5,Satisfactory,28.6435829,77.4492094,Uttar Pradesh
RJio,Indoor,4G,5,Satisfactory,28.6435829,77.4492094,Uttar Pradesh
RJio,Indoor,4G,5,Satisfactory,28.6433466,77.4488106,Uttar Pradesh
RJio,Indoor,4G,5,Satisfactory,28.6433466,77.4488106,Uttar Pradesh
RJio,Indoor,4G,5,Satisfactory,28.6433466,77.4488106,Uttar Pradesh
RJio,Indoor,4G,5,Satisfactory,28.6433795,77.4487117,Uttar Pradesh
Airtel,Indoor,Unknown,5,Satisfactory,28.6433795,77.4487117,Uttar Pradesh
RJio,Indoor,4G,5,Satisfactory,28.6433711,77.4489891,Uttar Pradesh
RJio,Indoor,4G,5,Satisfactory,28.6432335,77.4489683,Uttar Pradesh
RJio,Indoor,4G,5,Satisfactory,28.6433466,77.4488106,Uttar Pradesh
RJio,Indoor,4G,5,Satisfactory,28.6433466,77.4488106,Uttar Pradesh
RJio,Indoor,4G,5,Satisfactory,28.6432335,77.4489683,Uttar Pradesh
RJio,Indoor,4G,5,Satisfactory,28.6432335,77.4489683,Uttar Pradesh
RJio,Indoor,4G,5,Satisfactory,28.6432335,77.4489683,Uttar Pradesh
Airtel,Indoor,Unknown,5,Satisfactory,28.643437,77.4490102,Uttar Pradesh
RJio,Indoor,4G,5,Satisfactory,28.643437,77.4490102,Uttar Pradesh
RJio,Indoor,4G,5,Satisfactory,28.643437,77.4490102,Uttar Pradesh
RJio,Indoor,4G,5,Satisfactory,28.643437,77.4490102,Uttar Pradesh
Airtel,Indoor,Unknown,5,Satisfactory,28.643437,77.4490102,Uttar Pradesh
RJio,Indoor,4G,5,Satisfactory,28.643437,77.4490102,Uttar Pradesh
RJio,Indoor,4G,5,Satisfactory,28.643437,77.4490102,Uttar Pradesh
RJio,Indoor,4G,5,Satisfactory,28.6433769,77.4487831,Uttar Pradesh
RJio,Indoor,4G,5,Satisfactory,28.6433769,77.4487831,Uttar Pradesh
RJio,Indoor,4G,5,Satisfactory,28.6431303,77.4489794,Uttar Pradesh
RJio,Indoor,4G,5,Satisfactory,28.6433769,77.4487831,Uttar Pradesh
RJio,Indoor,4G,5,Satisfactory,28.6433769,77.4487831,Uttar Pradesh
RJio,Indoor,4G,5,Satisfactory,28.6433769,77.4487831,Uttar Pradesh
RJio,Indoor,4G,5,Satisfactory,28.6433769,77.4487831,Uttar Pradesh
RJio,Indoor,4G,5,Satisfactory,28.6433769,77.4487831,Uttar Pradesh
RJio,Indoor,4G,5,Satisfactory,28.6433769,77.4487831,Uttar Pradesh
RJio,Indoor,4G,5,Satisfactory,28.6433769,77.4487831,Uttar Pradesh
RJio,Indoor,4G,5,Satisfactory,28.6433769,77.4487831,Uttar Pradesh
RJio,Indoor,4G,5,Satisfactory,28.6433769,77.4487831,Uttar Pradesh
RJio,Indoor,4G,5,Satisfactory,28.6433769,77.4487831,Uttar Pradesh
RJio,Indoor,4G,5,Satisfactory,28.6433769,77.4487831,Uttar Pradesh
RJio,Indoor,4G,5,Satisfactory,28.6433654,77.448814,Uttar Pradesh
RJio,Indoor,4G,5,Satisfactory,28.6433654,77.448814,Uttar Pradesh
Airtel,Outdoor,Unknown,5,Satisfactory,28.6433654,77.448814,Uttar Pradesh
RJio,Indoor,4G,5,Satisfactory,28.6433769,77.4487831,Uttar Pradesh
RJio,Indoor,4G,5,Satisfactory,28.6433769,77.4487831,Uttar Pradesh
RJio,Indoor,4G,5,Satisfactory,28.6433769,77.4487831,Uttar Pradesh
RJio,Indoor,4G,5,Satisfactory,28.6433769,77.4487831,Uttar Pradesh
RJio,Indoor,4G,5,Satisfactory,28.6433654,77.448814,Uttar Pradesh
RJio,Indoor,4G,5,Satisfactory,28.6433654,77.448814,Uttar Pradesh
RJio,Indoor,4G,5,Satisfactory,28.6433654,77.448814,Uttar Pradesh
RJio,Indoor,4G,5,Satisfactory,28.6433654,77.448814,Uttar Pradesh
RJio,Indoor,4G,5,Satisfactory,28.6433654,77.448814,Uttar Pradesh
Airtel,Outdoor,Unknown,5,Satisfactory,28.6433654,77.448814,Uttar Pradesh
RJio,Outdoor,4G,5,Satisfactory,28.6433654,77.448814,Uttar Pradesh
RJio,Outdoor,4G,5,Satisfactory,28.6433654,77.448814,Uttar Pradesh
Airtel,Outdoor,Unknown,5,Satisfactory,28.643422346,77.432079501,Uttar Pradesh
RJio,Outdoor,4G,5,Satisfactory,28.643286685,77.432070281,Uttar Pradesh
